year,Diesel
2020,8929
2019,8923.535
2018,8932.289
2017,8993.281
2016,9452.084
2015,8894.499
2014,8780.878
2013,8873.547
2012,8903.377011
2011,8770.339
2010,8781.55
2009,8742.589
2008,8827.781
2007,8908.166
2006,8906.978
2005,8994.238
2004,8982.325
2003,9042
2002,9029
2001,9033
2000,9045
1999,9078
1998,9101
1997,9121
1996,9784
1995,9056
1994,9032
1993,9122
1992,9051
1991,9036
1990,9037
1989,9040
1988,9030
1987,9051
1986,9195
1985,9123
1984,9008
1983,9047
1982,9019
1981,9014
1980,9017
1979,9011
1978,9019
1977,9016
1976,8999
1975,9015
1974,9018
1973,9004
1972,8976
1971,9016
1970,9023
1969,9073
1968,9059
1967,9059
1966,9059
1965,9059
1964,9059
1963,9059
1962,9059
1961,9059
