year,heavy fuel oil
2020,9872
2019,9960.085
2018,10069.005
2017,10003.037
2016,9768.372
2015,10027.851
2014,9928.011
2013,9962.933
2012,9766.336822
2011,9996.14
2010,9974.888
2009,9940.157
2008,9964.809
2007,9972.275
2006,9897.478
2005,9628.753
2004,9609.845
2003,9816
2002,9940
2001,9899
2000,9846
1999,9833
1998,9818
1997,9834
1996,9701
1995,9848
1994,9855
1993,9861
1992,9863
1991,9869
1990,9860
1989,9852
1988,9841
1987,9829
1986,9857
1985,9877
1984,9873
1983,9876
1982,9867
1981,9861
1980,9870
1979,9869
1978,9869
1977,9864
1976,9848
1975,9841
1974,9862
1973,9872
1972,9838
1971,9856
1970,9882
1969,9889
1968,9493
1967,9493
1966,9493
1965,9493
1964,9493
1963,9493
1962,9493
1961,9493
