서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2956297.0,1124393.0,910807.0,897950.0,496302.0,554839.0,429135.0,4029949.0,588836.0,593000.0,799644.0,685299.0,687960.0,1070419.0,1310143.0,241930.0,0.0
2961493.0,1126981.0,912382.0,899849.0,497768.0,556267.0,430170.0,4043658.0,590588.0,594704.0,802175.0,687364.0,690854.0,1073147.0,1317350.0,242397.0,0.0
2964508.0,1128684.0,914570.0,902458.0,499705.0,558183.0,431395.0,4061103.0,592268.0,597010.0,805400.0,689860.0,693406.0,1075978.0,1325513.0,243139.0,0.0
2968057.0,1131747.0,916679.0,905195.0,501213.0,559421.0,431894.0,4076897.0,593927.0,599351.0,809436.0,693357.0,696782.0,1080864.0,1332811.0,244304.0,0.0
2963300.0,1135384.0,925835.0,907136.0,503529.0,560950.0,433082.0,4091379.0,595831.0,601645.0,812325.0,696409.0,698926.0,1083786.0,1337552.0,245100.0,0.0
2968335.0,1137194.0,928002.0,910581.0,505795.0,562588.0,434007.0,4105675.0,597825.0,604203.0,815377.0,698610.0,701458.0,1087160.0,1344958.0,246031.0,0.0
2972413.0,1134724.0,936050.0,913805.0,508538.0,564321.0,435459.0,4121938.0,599885.0,606526.0,819864.0,700925.0,703660.0,1090309.0,1351842.0,248489.0,0.0
2973869.0,1137251.0,937359.0,915323.0,509847.0,565609.0,436364.0,4132413.0,601068.0,608645.0,822465.0,702739.0,705413.0,1092691.0,1357245.0,249202.0,0.0
2979377.0,1140204.0,940789.0,918374.0,512406.0,568075.0,437915.0,4150520.0,603232.0,611116.0,826121.0,705713.0,708044.0,1096924.0,1363986.0,249373.0,0.0
2983710.0,1145085.0,943305.0,921298.0,515076.0,569845.0,439183.0,4166929.0,605017.0,613794.0,829848.0,708377.0,710508.0,1100693.0,1368945.0,249791.0,0.0
